external_product_name,external_part_numbers,external_category,external_product_url,external_image_url,match_confidence,matched_rre_part_number,matched_rre_description,matched_rre_slug,matched_rre_category,matched_rre_current_image_status,token_similarity,reconciliation_action
Ignition Switch,701/80184 701/45500 701/Y1372,Cabin Parts,https://www.antheautoparts.com/product-details/ignition-switch-701-80184-701-45500-701-y1372-jcb-parts,https://enterprise.saioautomotive.com/backend/assets/uploads/products/OFNKMUR0bk16dDQ2ZExjSTJxZExyQT09_1745055489_0.jpg,UNMATCHED,,,,,,0,EXTERNAL_ONLY_PRODUCT
JCB Fuel Gauge,704/50117,Cabin Parts,https://www.antheautoparts.com/product-details/jcb-fuel-gauge-704-50117-jcb-genuine-parts,https://enterprise.saioautomotive.com/backend/assets/uploads/products/WlNMYm5zOE9JK2hBcE5IWXlIMWs3dz09_1745055575_0.jpg,HIGH,704/50117,GAUGE -FUEL,704-50117-gauge-fuel,Cabin Parts,source_image,1,CROSS_REFERENCE_CONFIRMED
Clamp Ring Loader Lever Gaiter,821/10159,Cabin Parts,https://www.antheautoparts.com/product-details/clamp-ring-loader-lever-gaiter-821-10159-jcb-parts-online,https://enterprise.saioautomotive.com/backend/assets/uploads/products/T0N5NFRobGdMNFo1N09FYkJEejZnZz09_1745055620_0.jpg,EXACT,821/10159,GAITOR CLAMPIN,821-10159-gaitor-clampin,Cabin Parts,source_image,0,CROSS_REFERENCE_CONFIRMED
Clamp Ring Excavator Gaiter,821/10161,Cabin Parts,https://www.antheautoparts.com/product-details/clamp-ring-excavator-gaiter-821-10161-replacement-jcb-parts,https://enterprise.saioautomotive.com/backend/assets/uploads/products/cEgzNVJCK2VhUVNvUXBPM3l5VGZGZz09_1745055667_0.jpg,UNMATCHED,,,,,,0,EXTERNAL_ONLY_PRODUCT
Ball Joint,826/00927,Cabin Parts,https://www.antheautoparts.com/product-details/ball-joint-826-00927-jcb-parts,https://enterprise.saioautomotive.com/backend/assets/uploads/products/Vmk3MGtDTTkxazZ0UGJNbnEwWDhkUT09_1745055721_0.jpg,HIGH,826/00927,BALL JOINT,826-00927-ball-joint,Cabin Parts,source_image,1,CROSS_REFERENCE_CONFIRMED
Door Latch Lock Left Hand For Project 21,826/11627,Cabin Parts,https://www.antheautoparts.com/product-details/door-latch-lock-left-hand-for-project-21-826-11627-jcb-parts-catalog,https://enterprise.saioautomotive.com/backend/assets/uploads/products/R01tOS9Eb0tiSVpTWU9YQm9JYWNkQT09_1745055807_0.jpg,UNMATCHED,,,,,,0,EXTERNAL_ONLY_PRODUCT
Door Latch Lock Right Hand For Project 21,826/11628,Cabin Parts,https://www.antheautoparts.com/product-details/door-latch-lock-right-hand-for-project-21-826-11628-jcb-parts-online,https://enterprise.saioautomotive.com/backend/assets/uploads/products/SllZMCtUVm9hSCtiTmRSclU4SnRlZz09_1745055862_0.jpg,UNMATCHED,,,,,,0,EXTERNAL_ONLY_PRODUCT
Loader Knob Kit,993/61200,Cabin Parts,https://www.antheautoparts.com/product-details/loader-knob-kit-993-61200-jcb-parts,https://enterprise.saioautomotive.com/backend/assets/uploads/products/SjJ2VTJ5NjQ5YktyNFdDYm5rWkp1UT09_1745055929_0.jpg,EXACT,993/61200,LOADERKNOB,993-61200-loaderknob,Cabin Parts,source_image,0,CROSS_REFERENCE_CONFIRMED
Loader Knob Assembly Yellow,993/65000,Cabin Parts,https://www.antheautoparts.com/product-details/loader-knob-assembly-yellow-993-65000-jcb-spares,https://enterprise.saioautomotive.com/backend/assets/uploads/products/U3hYcHhYT3gwQW9DOTlWYkJrSStJUT09_1745055981_0.jpg,HIGH,993/65000,KIT LOADER KNOB,993-65000-kit-loader-knob,Cabin Parts,source_image,0.4,CROSS_REFERENCE_CONFIRMED
T Handle For Stop Cable,910/24902,Cabin Parts,https://www.antheautoparts.com/product-details/t-handle-for-stop-cable-910-24902-jcb-spares,https://enterprise.saioautomotive.com/backend/assets/uploads/products/OHhVSk5PTFIxdE9JZ0tYR0sxWFk2QT09_1745056061_0.jpg,HIGH,910/24902,NOB -ENGINE STOP CABLE,910-24902-nob-engine-stop-cable,Cabin Parts,source_image,0.4,CROSS_REFERENCE_CONFIRMED
